scheduler_mode,repetition,run_type,query,job_id,stage_id,submission_time,completion_time,duration_ms,num_tasks,max_concurrency,overlap_duration_ms
FAIR,1,concurrent,Q3,62,108,1788178407075,1788178407209,134,17,16,0.0
FAIR,1,concurrent,Q3,63,109,1788178409122,1788178409397,275,7,7,0.0
FAIR,1,concurrent,Q6,64,111,1788178409407,1788178409413,6,1,1,0.0
FAIR,1,concurrent,Q6,65,112,1788178411052,1788178411656,604,1,1,0.0
FAIR,1,concurrent,Q6,66,113,1788178411061,1788178411465,404,7,7,0.0
FAIR,1,concurrent,Q12,67,115,1788178411478,1788178411501,23,1,1,0.0
FAIR,1,concurrent,Q12,68,117,1788178411679,1788178411732,53,14,14,0.0
FAIR,1,concurrent,Q12,69,120,1788178411750,1788178411761,11,1,1,0.0
FAIR,1,concurrent,Q12,70,123,1788178411763,1788178411774,11,1,1,0.0
FAIR,1,concurrent,Q12,71,127,1788178411792,1788178411799,7,1,1,0.0
FAIR,1,concurrent,Q12,72,128,1788178413683,1788178413851,168,1,1,0.0
FAIR,1,concurrent,Q14,73,129,1788178413926,1788178414286,360,7,7,0.0
FAIR,1,concurrent,Q14,74,131,1788178414299,1788178414304,5,1,1,0.0
FAIR,1,concurrent,Q14,75,132,1788178416028,1788178417331,1303,1,1,0.0
FAIR,1,concurrent,Q14,76,133,1788178416041,1788178416235,194,1,1,0.0
FAIR,1,concurrent,Q14,77,134,1788178416050,1788178417865,1815,7,7,0.0
FAIR,1,concurrent,Q14,78,135,1788178416056,1788178417209,1153,7,7,0.0
FAIR,1,concurrent,Q18,79,139,1788178417957,1788178419310,1353,17,16,0.0
FAIR,1,baseline,Q1,80,140,1788178450437,1788178452720,2283,7,7,0.0
FAIR,1,baseline,Q1,81,142,1788178452749,1788178452757,8,1,1,0.0
FAIR,1,baseline,Q1,82,144,1788178452759,1788178452768,9,1,1,0.0
FAIR,1,baseline,Q1,83,147,1788178452781,1788178452788,7,1,1,0.0
FAIR,1,baseline,Q1,84,148,1788178454335,1788178454836,501,7,7,0.0
FAIR,1,baseline,Q1,85,149,1788178454339,1788178454388,49,1,1,0.0
FAIR,1,baseline,Q1,86,150,1788178454416,1788178454737,321,1,1,0.0
FAIR,1,baseline,Q1,87,152,1788178454754,1788178454811,57,1,1,0.0
FAIR,1,baseline,Q3,88,154,1788178454878,1788178454972,94,17,17,0.0
FAIR,1,baseline,Q3,89,155,1788178456355,1788178456687,332,7,7,0.0
FAIR,1,baseline,Q3,90,157,1788178456698,1788178456704,6,1,1,0.0
FAIR,1,baseline,Q6,91,158,1788178458614,1788178459179,565,1,1,0.0
FAIR,1,baseline,Q6,92,159,1788178458619,1788178458994,375,7,7,0.0
FAIR,1,baseline,Q12,93,161,1788178459006,1788178459024,18,1,1,0.0
FAIR,1,baseline,Q12,94,163,1788178459200,1788178459250,50,14,14,0.0
FAIR,1,baseline,Q12,95,166,1788178459268,1788178459276,8,1,1,0.0
FAIR,1,baseline,Q12,96,169,1788178459278,1788178459286,8,1,1,0.0
FAIR,1,baseline,Q12,97,173,1788178459305,1788178459313,8,1,1,0.0
FAIR,1,baseline,Q12,98,174,1788178460911,1788178460977,66,1,1,0.0
FAIR,1,baseline,Q12,99,175,1788178461053,1788178461309,256,7,7,0.0
FAIR,1,baseline,Q12,100,177,1788178461319,1788178461323,4,1,1,0.0
FAIR,1,baseline,Q14,101,178,1788178463050,1788178464262,1212,1,1,0.0
FAIR,1,baseline,Q14,102,179,1788178463063,1788178463231,168,1,1,0.0
FAIR,1,baseline,Q14,103,180,1788178463066,1788178464748,1682,7,7,0.0
FAIR,1,baseline,Q14,104,181,1788178463069,1788178464169,1100,7,7,0.0
FAIR,1,baseline,Q18,105,185,1788178464801,1788178466041,1240,17,17,0.0
FAIR,2,baseline,Q1,106,186,1788178498989,1788178501640,2651,7,7,0.0
FAIR,2,baseline,Q1,107,188,1788178501670,1788178501679,9,1,1,0.0
FAIR,2,baseline,Q1,108,190,1788178501681,1788178501691,10,1,1,0.0
FAIR,2,baseline,Q1,109,193,1788178501703,1788178501710,7,1,1,0.0
FAIR,2,baseline,Q1,110,194,1788178503244,1788178503781,537,7,7,0.0
FAIR,2,baseline,Q1,111,195,1788178503247,1788178503318,71,1,1,0.0
FAIR,2,baseline,Q1,112,196,1788178503348,1788178503678,330,1,1,0.0
FAIR,2,baseline,Q1,113,198,1788178503694,1788178503736,42,1,1,0.0
FAIR,2,baseline,Q3,114,200,1788178503818,1788178503934,116,17,17,0.0
FAIR,2,baseline,Q3,115,201,1788178505410,1788178505675,265,7,7,0.0
FAIR,2,baseline,Q3,116,203,1788178505684,1788178505688,4,1,1,0.0
FAIR,2,baseline,Q6,117,204,1788178507424,1788178508041,617,1,1,0.0
FAIR,2,baseline,Q6,118,205,1788178507429,1788178507780,351,7,7,0.0
FAIR,2,baseline,Q12,119,207,1788178507794,1788178507823,29,1,1,0.0
FAIR,2,baseline,Q12,120,209,1788178508063,1788178508113,50,14,14,0.0
FAIR,2,baseline,Q12,121,212,1788178508131,1788178508137,6,1,1,0.0
FAIR,2,baseline,Q12,122,215,1788178508139,1788178508146,7,1,1,0.0
FAIR,2,baseline,Q12,123,219,1788178508159,1788178508165,6,1,1,0.0
FAIR,2,baseline,Q12,124,220,1788178509715,1788178509775,60,1,1,0.0
FAIR,2,baseline,Q12,125,221,1788178509844,1788178510106,262,7,7,0.0
FAIR,2,baseline,Q12,126,223,1788178510116,1788178510120,4,1,1,0.0
FAIR,2,baseline,Q14,127,224,1788178511647,1788178512914,1267,1,1,0.0
FAIR,2,baseline,Q14,128,225,1788178511651,1788178511803,152,1,1,0.0
FAIR,2,baseline,Q14,129,226,1788178511658,1788178513369,1711,7,7,0.0
FAIR,2,baseline,Q14,130,227,1788178511663,1788178512926,1263,7,7,0.0
FAIR,2,baseline,Q18,131,231,1788178513422,1788178514530,1108,17,17,0.0
FAIR,2,concurrent,compaction,132,232,1788178545654,1788178564861,19207,1,1,0.0
FAIR,2,concurrent,Q1,133,233,1788178547976,1788178550522,2546,7,7,0.0
FAIR,2,concurrent,Q1,134,235,1788178550552,1788178550560,8,1,1,0.0
FAIR,2,concurrent,Q1,135,237,1788178550562,1788178550572,10,1,1,0.0
FAIR,2,concurrent,Q1,136,240,1788178550585,1788178550591,6,1,1,0.0
FAIR,2,concurrent,Q1,137,241,1788178552206,1788178553035,829,7,7,0.0
FAIR,2,concurrent,Q1,138,242,1788178552211,1788178552279,68,1,1,0.0
FAIR,2,concurrent,Q1,139,243,1788178552312,1788178552815,503,1,1,0.0
FAIR,2,concurrent,Q3,140,245,1788178552833,1788178552881,48,1,1,0.0
FAIR,2,concurrent,Q3,141,247,1788178553066,1788178553190,124,17,17,0.0
FAIR,2,concurrent,Q3,142,248,1788178554927,1788178555198,271,7,7,0.0
FAIR,2,concurrent,Q3,143,250,1788178555206,1788178555212,6,1,1,0.0
FAIR,2,concurrent,Q6,144,251,1788178556841,1788178557372,531,1,1,0.0
FAIR,2,concurrent,Q6,145,252,1788178556848,1788178557207,359,7,7,0.0
FAIR,2,concurrent,Q6,146,254,1788178557221,1788178557236,15,1,1,0.0
FAIR,2,concurrent,Q12,147,256,1788178557393,1788178557433,40,14,14,0.0
FAIR,2,concurrent,Q12,148,259,1788178557450,1788178557457,7,1,1,0.0
FAIR,2,concurrent,Q12,149,262,1788178557458,1788178557466,8,1,1,0.0
FAIR,2,concurrent,Q12,150,266,1788178557480,1788178557485,5,1,1,0.0
FAIR,2,concurrent,Q12,151,267,1788178559358,1788178559438,80,1,1,0.0
FAIR,2,concurrent,Q12,152,268,1788178559513,1788178559853,340,7,7,0.0
FAIR,2,concurrent,Q14,153,270,1788178559862,1788178559866,4,1,1,0.0
FAIR,2,concurrent,Q14,154,271,1788178561514,1788178562770,1256,1,1,0.0
FAIR,2,concurrent,Q14,155,272,1788178561518,1788178561636,118,1,1,0.0
FAIR,2,concurrent,Q14,156,273,1788178561528,1788178563036,1508,7,7,0.0
FAIR,2,concurrent,Q14,157,274,1788178561531,1788178562374,843,7,7,0.0
FAIR,2,concurrent,Q18,158,278,1788178563101,1788178564335,1234,17,16,0.0
FAIR,3,concurrent,compaction,159,279,1788178595697,1788178618127,22430,1,1,0.0
FAIR,3,concurrent,Q1,160,280,1788178597673,1788178600865,3192,7,7,0.0
FAIR,3,concurrent,Q1,161,282,1788178600901,1788178600911,10,1,1,0.0
FAIR,3,concurrent,Q1,162,284,1788178600913,1788178600925,12,1,1,0.0
FAIR,3,concurrent,Q1,163,287,1788178600940,1788178600948,8,1,1,0.0
FAIR,3,concurrent,Q1,164,288,1788178602991,1788178603630,639,7,7,0.0
FAIR,3,concurrent,Q1,165,289,1788178603011,1788178603119,108,1,1,0.0
FAIR,3,concurrent,Q3,166,290,1788178603177,1788178603565,388,1,1,0.0
FAIR,3,concurrent,Q3,167,292,1788178603584,1788178603635,51,1,1,0.0
FAIR,3,concurrent,Q3,168,294,1788178603775,1788178603945,170,17,16,0.0
FAIR,3,concurrent,Q6,169,295,1788178606221,1788178606535,314,7,7,0.0
FAIR,3,concurrent,Q6,170,297,1788178606548,1788178606553,5,1,1,0.0
FAIR,3,concurrent,Q6,171,298,1788178608434,1788178609051,617,1,1,0.0
FAIR,3,concurrent,Q6,172,299,1788178608440,1788178608820,380,7,7,0.0
FAIR,3,concurrent,Q12,173,301,1788178608836,1788178608857,21,1,1,0.0
FAIR,3,concurrent,Q12,174,303,1788178609085,1788178609153,68,14,14,0.0
FAIR,3,concurrent,Q12,175,306,1788178609175,1788178609185,10,1,1,0.0
FAIR,3,concurrent,Q12,176,309,1788178609188,1788178609199,11,1,1,0.0
FAIR,3,concurrent,Q12,177,313,1788178609215,1788178609224,9,1,1,0.0
FAIR,3,concurrent,Q14,178,314,1788178611814,1788178611898,84,1,1,0.0
FAIR,3,concurrent,Q14,179,315,1788178611990,1788178612378,388,7,7,0.0
FAIR,3,concurrent,Q14,180,317,1788178612395,1788178612403,8,1,1,0.0
FAIR,3,concurrent,Q14,181,318,1788178614414,1788178615861,1447,1,1,0.0
FAIR,3,concurrent,Q14,182,319,1788178614420,1788178614624,204,1,1,0.0
FAIR,3,concurrent,Q14,183,320,1788178614427,1788178616597,2170,7,7,0.0
FAIR,3,concurrent,Q14,184,321,1788178614434,1788178615623,1189,7,7,0.0
FAIR,3,concurrent,Q18,185,325,1788178616673,1788178618165,1492,17,16,0.0
FAIR,3,baseline,Q1,186,326,1788178652908,1788178655753,2845,7,7,0.0
FAIR,3,baseline,Q1,187,328,1788178655786,1788178655795,9,1,1,0.0
FAIR,3,baseline,Q1,188,330,1788178655796,1788178655807,11,1,1,0.0
FAIR,3,baseline,Q1,189,333,1788178655821,1788178655828,7,1,1,0.0
FAIR,3,baseline,Q1,190,334,1788178657424,1788178657961,537,7,7,0.0
FAIR,3,baseline,Q1,191,335,1788178657428,1788178657473,45,1,1,0.0
FAIR,3,baseline,Q1,192,336,1788178657532,1788178657875,343,1,1,0.0
FAIR,3,baseline,Q3,193,338,1788178657893,1788178657948,55,1,1,0.0
FAIR,3,baseline,Q3,194,340,1788178658020,1788178658122,102,17,17,0.0
FAIR,3,baseline,Q3,195,341,1788178659688,1788178659968,280,7,7,0.0
FAIR,3,baseline,Q3,196,343,1788178659976,1788178659980,4,1,1,0.0
FAIR,3,baseline,Q6,197,344,1788178661819,1788178662362,543,1,1,0.0
FAIR,3,baseline,Q6,198,345,1788178661827,1788178662163,336,7,7,0.0
FAIR,3,baseline,Q12,199,347,1788178662174,1788178662187,13,1,1,0.0
FAIR,3,baseline,Q12,200,349,1788178662383,1788178662436,53,14,14,0.0
FAIR,3,baseline,Q12,201,352,1788178662453,1788178662461,8,1,1,0.0
FAIR,3,baseline,Q12,202,355,1788178662463,1788178662472,9,1,1,0.0
FAIR,3,baseline,Q12,203,359,1788178662489,1788178662496,7,1,1,0.0
FAIR,3,baseline,Q12,204,360,1788178664176,1788178664240,64,1,1,0.0
FAIR,3,baseline,Q12,205,361,1788178664318,1788178664570,252,7,7,0.0
FAIR,3,baseline,Q14,206,363,1788178664580,1788178664584,4,1,1,0.0
FAIR,3,baseline,Q14,207,364,1788178666465,1788178667766,1301,1,1,0.0
FAIR,3,baseline,Q14,208,365,1788178666479,1788178666662,183,1,1,0.0
FAIR,3,baseline,Q14,209,366,1788178666482,1788178668161,1679,7,7,0.0
FAIR,3,baseline,Q14,210,367,1788178666487,1788178667514,1027,7,7,0.0
FAIR,3,baseline,Q18,211,371,1788178668225,1788178669648,1423,17,17,0.0
FAIR,4,baseline,Q1,212,372,1788178704478,1788178707753,3275,7,7,0.0
FAIR,4,baseline,Q1,213,374,1788178707786,1788178707796,10,1,1,0.0
FAIR,4,baseline,Q1,214,376,1788178707798,1788178707810,12,1,1,0.0
FAIR,4,baseline,Q1,215,379,1788178707827,1788178707837,10,1,1,0.0
FAIR,4,baseline,Q1,216,380,1788178709903,1788178710542,639,7,7,0.0
FAIR,4,baseline,Q1,217,381,1788178709909,1788178709989,80,1,1,0.0
FAIR,4,baseline,Q3,218,382,1788178710025,1788178710397,372,1,1,0.0
FAIR,4,baseline,Q3,219,384,1788178710418,1788178710501,83,1,1,0.0
FAIR,4,baseline,Q3,220,386,1788178710617,1788178710741,124,17,17,0.0
FAIR,4,baseline,Q6,221,387,1788178712917,1788178713220,303,7,7,0.0
FAIR,4,baseline,Q6,222,389,1788178713233,1788178713237,4,1,1,0.0
FAIR,4,baseline,Q6,223,390,1788178715103,1788178715753,650,1,1,0.0
FAIR,4,baseline,Q6,224,391,1788178715108,1788178715546,438,7,7,0.0
FAIR,4,baseline,Q12,225,393,1788178715567,1788178715589,22,1,1,0.0
FAIR,4,baseline,Q12,226,395,1788178715776,1788178715838,62,14,14,0.0
FAIR,4,baseline,Q12,227,398,1788178715860,1788178715868,8,1,1,0.0
FAIR,4,baseline,Q12,228,401,1788178715870,1788178715880,10,1,1,0.0
FAIR,4,baseline,Q12,229,405,1788178715894,1788178715901,7,1,1,0.0
FAIR,4,baseline,Q14,230,406,1788178718057,1788178718133,76,1,1,0.0
FAIR,4,baseline,Q14,231,407,1788178718218,1788178718485,267,7,7,0.0
FAIR,4,baseline,Q14,232,409,1788178718497,1788178718502,5,1,1,0.0
FAIR,4,baseline,Q14,233,410,1788178720448,1788178721790,1342,1,1,0.0
FAIR,4,baseline,Q14,234,411,1788178720453,1788178720656,203,1,1,0.0
FAIR,4,baseline,Q14,235,412,1788178720461,1788178722273,1812,7,7,0.0
FAIR,4,baseline,Q14,236,413,1788178720465,1788178721593,1128,7,7,0.0
FAIR,4,baseline,Q18,237,417,1788178722349,1788178723829,1480,17,17,0.0
FAIR,4,concurrent,compaction,238,418,1788178762651,1788178787334,24683,1,1,0.0
FAIR,4,concurrent,Q1,239,419,1788178764968,1788178768277,3309,7,7,0.0
FAIR,4,concurrent,Q1,240,421,1788178768313,1788178768324,11,1,1,0.0
FAIR,4,concurrent,Q1,241,423,1788178768327,1788178768338,11,1,1,0.0
FAIR,4,concurrent,Q1,242,426,1788178768353,1788178768362,9,1,1,0.0
FAIR,4,concurrent,Q3,243,427,1788178770622,1788178771275,653,7,7,0.0
FAIR,4,concurrent,Q3,244,428,1788178770627,1788178770693,66,1,1,0.0
FAIR,4,concurrent,Q3,245,429,1788178770734,1788178771162,428,1,1,0.0
FAIR,4,concurrent,Q3,246,431,1788178771178,1788178771232,54,1,1,0.0
FAIR,4,concurrent,Q3,247,433,1788178771353,1788178771490,137,17,17,0.0
FAIR,4,concurrent,Q3,248,434,1788178773512,1788178773853,341,7,7,0.0
FAIR,4,concurrent,Q6,249,436,1788178773866,1788178773871,5,1,1,0.0
FAIR,4,concurrent,Q12,250,437,1788178776236,1788178777033,797,1,1,0.0
FAIR,4,concurrent,Q12,251,438,1788178776244,1788178776804,560,7,7,0.0
FAIR,4,concurrent,Q12,252,440,1788178776820,1788178776838,18,1,1,0.0
FAIR,4,concurrent,Q12,253,442,1788178777059,1788178777132,73,14,14,0.0
FAIR,4,concurrent,Q12,254,445,1788178777160,1788178777181,21,1,1,0.0
FAIR,4,concurrent,Q12,255,448,1788178777185,1788178777203,18,1,1,0.0
FAIR,4,concurrent,Q12,256,452,1788178777230,1788178777245,15,1,1,0.0
FAIR,4,concurrent,Q14,257,453,1788178779546,1788178779639,93,1,1,0.0
FAIR,4,concurrent,Q14,258,454,1788178779739,1788178780136,397,7,7,0.0
FAIR,4,concurrent,Q14,259,456,1788178780151,1788178780157,6,1,1,0.0
FAIR,4,concurrent,Q18,260,457,1788178782823,1788178784338,1515,1,1,0.0
FAIR,4,concurrent,Q18,261,458,1788178782829,1788178783078,249,1,1,0.0
FAIR,4,concurrent,Q18,262,459,1788178782839,1788178784919,2080,7,7,0.0
FAIR,4,concurrent,Q18,263,460,1788178782844,1788178784156,1312,7,7,0.0
FAIR,4,concurrent,Q18,264,464,1788178785006,1788178786648,1642,17,16,0.0
FAIR,5,concurrent,compaction,265,465,1788178823686,1788178843891,20205,1,1,0.0
FAIR,5,concurrent,Q1,266,466,1788178825900,1788178828551,2651,7,7,0.0
FAIR,5,concurrent,Q1,267,468,1788178828579,1788178828589,10,1,1,0.0
FAIR,5,concurrent,Q1,268,470,1788178828590,1788178828600,10,1,1,0.0
FAIR,5,concurrent,Q1,269,473,1788178828612,1788178828619,7,1,1,0.0
FAIR,5,concurrent,Q1,270,474,1788178830296,1788178831214,918,7,7,0.0
FAIR,5,concurrent,Q1,271,475,1788178830301,1788178830371,70,1,1,0.0
FAIR,5,concurrent,Q1,272,476,1788178830434,1788178831028,594,1,1,0.0
FAIR,5,concurrent,Q3,273,478,1788178831044,1788178831091,47,1,1,0.0
FAIR,5,concurrent,Q3,274,480,1788178831240,1788178831391,151,17,17,0.0
FAIR,5,concurrent,Q3,275,481,1788178832989,1788178833265,276,7,7,0.0
FAIR,5,concurrent,Q3,276,483,1788178833273,1788178833277,4,1,1,0.0
FAIR,5,concurrent,Q6,277,484,1788178834945,1788178835500,555,1,1,0.0
FAIR,5,concurrent,Q6,278,485,1788178834950,1788178835290,340,7,7,0.0
FAIR,5,concurrent,Q6,279,487,1788178835301,1788178835318,17,1,1,0.0
FAIR,5,concurrent,Q12,280,489,1788178835522,1788178835588,66,14,14,0.0
FAIR,5,concurrent,Q12,281,492,1788178835614,1788178835624,10,1,1,0.0
FAIR,5,concurrent,Q12,282,495,1788178835626,1788178835636,10,1,1,0.0
FAIR,5,concurrent,Q12,283,499,1788178835649,1788178835655,6,1,1,0.0
FAIR,5,concurrent,Q12,284,500,1788178837694,1788178837765,71,1,1,0.0
FAIR,5,concurrent,Q14,285,501,1788178837834,1788178838157,323,7,7,0.0
FAIR,5,concurrent,Q14,286,503,1788178838167,1788178838171,4,1,1,0.0
FAIR,5,concurrent,Q14,287,504,1788178839974,1788178841241,1267,1,1,0.0
FAIR,5,concurrent,Q14,288,505,1788178839985,1788178840160,175,1,1,0.0
FAIR,5,concurrent,Q14,289,506,1788178839988,1788178841780,1792,7,7,0.0
FAIR,5,concurrent,Q14,290,507,1788178839992,1788178841048,1056,7,7,0.0
FAIR,5,concurrent,Q18,291,511,1788178841848,1788178843521,1673,17,16,0.0
FAIR,5,baseline,Q1,292,512,1788178875491,1788178878024,2533,7,7,0.0
FAIR,5,baseline,Q1,293,514,1788178878068,1788178878084,16,1,1,0.0
FAIR,5,baseline,Q1,294,516,1788178878086,1788178878098,12,1,1,0.0
FAIR,5,baseline,Q1,295,519,1788178878115,1788178878123,8,1,1,0.0
FAIR,5,baseline,Q1,296,520,1788178879699,1788178880166,467,7,7,0.0
FAIR,5,baseline,Q1,297,521,1788178879702,1788178879755,53,1,1,0.0
FAIR,5,baseline,Q1,298,522,1788178879783,1788178880062,279,1,1,0.0
FAIR,5,baseline,Q1,299,524,1788178880075,1788178880117,42,1,1,0.0
FAIR,5,baseline,Q3,300,526,1788178880218,1788178880315,97,17,17,0.0
FAIR,5,baseline,Q3,301,527,1788178881785,1788178882055,270,7,7,0.0
FAIR,5,baseline,Q3,302,529,1788178882063,1788178882066,3,1,1,0.0
FAIR,5,baseline,Q6,303,530,1788178883823,1788178884395,572,1,1,0.0
FAIR,5,baseline,Q6,304,531,1788178883829,1788178884231,402,7,7,0.0
FAIR,5,baseline,Q12,305,533,1788178884244,1788178884262,18,1,1,0.0
FAIR,5,baseline,Q12,306,535,1788178884416,1788178884458,42,14,14,0.0
FAIR,5,baseline,Q12,307,538,1788178884474,1788178884481,7,1,1,0.0
FAIR,5,baseline,Q12,308,541,1788178884482,1788178884489,7,1,1,0.0
FAIR,5,baseline,Q12,309,545,1788178884504,1788178884509,5,1,1,0.0
FAIR,5,baseline,Q12,310,546,1788178885965,1788178886033,68,1,1,0.0
FAIR,5,baseline,Q12,311,547,1788178886102,1788178886338,236,7,7,0.0
FAIR,5,baseline,Q12,312,549,1788178886347,1788178886351,4,1,1,0.0
FAIR,5,baseline,Q14,313,550,1788178887895,1788178889051,1156,1,1,0.0
FAIR,5,baseline,Q14,314,551,1788178887899,1788178888032,133,1,1,0.0
FAIR,5,baseline,Q14,315,552,1788178887909,1788178889424,1515,7,7,0.0
FAIR,5,baseline,Q14,316,553,1788178887913,1788178888855,942,7,7,0.0
FAIR,5,baseline,Q18,317,557,1788178889500,1788178890823,1323,17,17,0.0
FAIR,6,baseline,Q1,318,558,1788178921859,1788178924768,2909,7,7,0.0
FAIR,6,baseline,Q1,319,560,1788178924799,1788178924819,20,1,1,0.0
FAIR,6,baseline,Q1,320,562,1788178924821,1788178924834,13,1,1,0.0
FAIR,6,baseline,Q1,321,565,1788178924854,1788178924876,22,1,1,0.0
FAIR,6,baseline,Q1,322,566,1788178926529,1788178926959,430,7,7,0.0
FAIR,6,baseline,Q1,323,567,1788178926535,1788178926586,51,1,1,0.0
FAIR,6,baseline,Q1,324,568,1788178926615,1788178926876,261,1,1,0.0
FAIR,6,baseline,Q1,325,570,1788178926890,1788178926927,37,1,1,0.0
FAIR,6,baseline,Q3,326,572,1788178926999,1788178927081,82,17,17,0.0
FAIR,6,baseline,Q3,327,573,1788178928600,1788178928920,320,7,7,0.0
FAIR,6,baseline,Q3,328,575,1788178928928,1788178928933,5,1,1,0.0
FAIR,6,baseline,Q6,329,576,1788178930877,1788178931464,587,1,1,0.0
FAIR,6,baseline,Q6,330,577,1788178930881,1788178931290,409,7,7,0.0
FAIR,6,baseline,Q12,331,579,1788178931301,1788178931314,13,1,1,0.0
