file_path,file_format,record_count,file_size_in_bytes
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00020-22-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30005,862363
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00021-23-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30005,862541
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00022-24-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30005,862825
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00023-25-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30005,862707
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00024-26-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30005,862565
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00025-27-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30005,862502
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00026-28-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30005,863913
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00027-29-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30005,861821
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00028-30-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30005,862408
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00029-31-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862765
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00030-32-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,861963
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00031-33-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862598
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00032-34-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862276
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00033-35-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862918
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00034-36-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862432
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00035-37-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,863222
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00036-38-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862049
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00037-39-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,861808
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00038-40-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,861346
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00039-41-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,863250
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00040-42-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862978
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00041-43-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862779
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00042-44-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862358
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00043-45-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862555
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00044-46-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,863684
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00045-47-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862492
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00046-48-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862455
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00047-49-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,861677
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00048-50-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,863082
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00049-51-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862065
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00050-52-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,861907
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00051-53-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862268
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00052-54-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862715
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00053-55-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862736
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00054-56-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862765
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00055-57-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862028
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00056-58-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,863281
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00057-59-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,863357
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00058-60-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862863
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00059-61-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862879
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00060-62-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862451
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00061-63-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,863926
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00062-64-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862224
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00063-65-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,861981
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00064-66-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862410
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00065-67-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862956
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00066-68-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,863017
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00067-69-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,861868
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00068-70-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862015
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00069-71-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,863370
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00070-72-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,863296
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00071-73-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862646
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00072-74-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862450
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00073-75-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862832
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00074-76-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862694
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00075-77-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,863021
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00076-78-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,863211
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00077-79-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862573
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00078-80-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,863175
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00079-81-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,861568
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00080-82-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862974
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00081-83-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862494
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00082-84-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,863038
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00083-85-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862346
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00084-86-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862506
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00085-87-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862181
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00086-88-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,861163
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00087-89-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862292
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00088-90-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862402
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00089-91-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,861934
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00090-92-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862612
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00091-93-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,861808
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00092-94-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862507
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00093-95-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862872
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00094-96-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862283
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00095-97-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862201
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00096-98-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862312
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00097-99-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862025
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00098-100-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862073
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00099-101-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862704
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00100-102-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862165
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00101-103-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,863121
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00102-104-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862124
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00103-105-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862301
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00104-106-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30007,863407
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00105-107-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30007,862890
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00106-108-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30007,862196
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00107-109-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30007,863131
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00108-110-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30007,863324
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00109-111-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30007,862776
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00110-112-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30007,861890
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00111-113-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30007,862453
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00112-114-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30007,862513
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00113-115-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30007,863955
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00114-116-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30007,862332
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00115-117-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30007,863418
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00116-118-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30007,863152
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00117-119-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30007,863212
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00118-120-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30007,861926
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00119-121-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30007,863123
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00120-122-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30007,863177
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00121-123-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30007,862964
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00122-124-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30007,863162
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00123-125-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30007,862252
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00124-126-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30007,863263
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00125-127-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30007,862937
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00126-128-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30007,861769
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00127-129-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30007,862514
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00128-130-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862254
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00129-131-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862742
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00130-132-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,861895
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00131-133-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,863136
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00132-134-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862795
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00133-135-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862403
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00134-136-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,863475
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00135-137-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,861947
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00136-138-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,863126
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00137-139-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862412
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00138-140-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862658
