query,state,stage_id,task_id,task_index,launch_time,finish_time,duration_ms,executor_run_time_ms,executor_cpu_time_ms,jvm_gc_time_ms,executor_deserialize_time_ms,result_serialization_time_ms,input_bytes_read,input_records_read,file_splits_read
Q3,Control,27,24,1,1788156152759,1788156153392,633,628,576,7,1,0,5185536,720116,2
Q3,Control,29,26,0,1788156152980,1788156153467,487,482,400,6,2,0,11640628,1500000,16
Q3,Control,27,23,0,1788156152757,1788156154489,1732,1725,1594,19,1,0,38188964,5281099,14
Q3,Control,33,31,3,1788156154572,1788156154953,381,343,280,7,16,1,0,0,0
Q3,Control,33,39,11,1788156154574,1788156154964,390,362,311,7,14,0,0,0,0
Q3,Control,33,32,4,1788156154572,1788156154972,400,376,334,7,16,0,0,0,0
Q3,Control,33,38,10,1788156154574,1788156154978,404,382,321,7,14,0,0,0,0
Q3,Control,33,28,0,1788156154571,1788156154984,413,385,340,7,18,0,0,0,0
Q3,Control,33,30,2,1788156154572,1788156155005,433,402,346,7,19,0,0,0,0
Q3,Control,33,36,8,1788156154573,1788156155005,432,411,342,7,14,0,0,0,0
Q3,Control,33,33,5,1788156154572,1788156155025,453,425,350,7,17,0,0,0,0
Q3,Control,33,34,6,1788156154573,1788156155032,459,434,361,7,17,0,0,0,0
Q3,Control,33,41,13,1788156154574,1788156155036,462,438,371,7,11,1,0,0,0
Q3,Control,33,43,15,1788156154575,1788156155040,465,445,240,7,10,0,0,0,0
Q3,Control,33,37,9,1788156154573,1788156155052,479,455,334,7,14,0,0,0,0
Q3,Control,33,35,7,1788156154573,1788156155052,479,455,345,7,16,0,0,0,0
Q3,Control,33,40,12,1788156154574,1788156155054,480,459,361,7,14,0,0,0,0
Q3,Control,33,42,14,1788156154574,1788156155058,484,462,363,7,11,0,0,0,0
Q3,Control,33,29,1,1788156154572,1788156155069,497,472,267,7,18,0,0,0,0
Q3,Control,33,44,16,1788156154942,1788156155072,130,117,98,0,8,0,0,0,0
Q3,Fragmented,34,51,6,1788156155262,1788156155711,449,443,332,53,3,0,3269202,240048,8
Q3,Fragmented,36,53,0,1788156155467,1788156156009,542,522,428,31,16,0,11640628,1500000,16
Q3,Fragmented,34,46,1,1788156155261,1788156156219,958,951,695,81,3,0,13077410,960192,32
Q3,Fragmented,34,48,3,1788156155261,1788156156219,958,952,697,81,2,0,13079810,960216,32
Q3,Fragmented,34,47,2,1788156155261,1788156156225,964,958,697,81,3,0,13078846,960192,32
Q3,Fragmented,34,50,5,1788156155262,1788156156230,968,962,707,81,3,0,13078900,960192,32
Q3,Fragmented,34,45,0,1788156155255,1788156156230,975,962,695,81,3,0,13078278,960183,32
Q3,Fragmented,34,49,4,1788156155261,1788156156240,979,972,711,81,2,0,13078244,960192,32
Q3,Fragmented,40,57,2,1788156156288,1788156156481,193,178,166,5,7,0,0,0,0
Q3,Fragmented,40,59,4,1788156156288,1788156156486,198,182,173,5,8,0,0,0,0
Q3,Fragmented,40,65,10,1788156156289,1788156156489,200,187,177,5,7,0,0,0,0
Q3,Fragmented,40,62,7,1788156156289,1788156156490,201,185,176,5,7,0,0,0,0
Q3,Fragmented,40,63,8,1788156156289,1788156156491,202,185,176,5,7,0,0,0,0
Q3,Fragmented,40,56,1,1788156156287,1788156156492,205,186,176,5,11,0,0,0,0
Q3,Fragmented,40,68,13,1788156156290,1788156156493,203,191,177,5,6,0,0,0,0
Q3,Fragmented,40,60,5,1788156156288,1788156156493,205,180,169,5,14,0,0,0,0
Q3,Fragmented,40,58,3,1788156156288,1788156156493,205,187,175,5,10,0,0,0,0
Q3,Fragmented,40,55,0,1788156156287,1788156156495,208,191,172,5,10,0,0,0,0
Q3,Fragmented,40,70,15,1788156156290,1788156156502,212,197,166,5,10,0,0,0,0
Q3,Fragmented,40,66,11,1788156156289,1788156156502,213,199,171,5,10,0,0,0,0
Q3,Fragmented,40,61,6,1788156156289,1788156156516,227,215,157,5,7,0,0,0,0
Q3,Fragmented,40,64,9,1788156156289,1788156156523,234,220,147,5,9,0,0,0,0
Q3,Fragmented,40,67,12,1788156156289,1788156156532,243,231,125,5,7,0,0,0,0
Q3,Fragmented,40,69,14,1788156156290,1788156156535,245,228,125,5,12,0,0,0,0
Q3,Fragmented,40,71,16,1788156156478,1788156156540,62,53,52,0,5,0,0,0,0
Q3,Compacted,43,75,0,1788156156786,1788156157107,321,317,246,26,1,0,11640628,1500000,16
Q3,Compacted,41,73,1,1788156156682,1788156157245,563,555,480,32,5,0,17321660,1980387,1
Q3,Compacted,41,72,0,1788156156682,1788156157596,914,907,821,34,5,0,35319906,4020828,3
Q3,Compacted,47,86,9,1788156157649,1788156157845,196,184,178,3,6,0,0,0,0
Q3,Compacted,47,87,10,1788156157649,1788156157846,197,182,177,3,8,0,0,0,0
Q3,Compacted,47,84,7,1788156157648,1788156157846,198,188,181,3,5,0,0,0,0
Q3,Compacted,47,92,15,1788156157650,1788156157847,197,181,176,3,8,0,0,0,0
Q3,Compacted,47,85,8,1788156157648,1788156157847,199,186,178,3,8,0,0,0,0
Q3,Compacted,47,77,0,1788156157647,1788156157849,202,190,177,3,6,0,0,0,0
Q3,Compacted,47,82,5,1788156157648,1788156157850,202,185,176,3,9,0,0,0,0
Q3,Compacted,47,83,6,1788156157648,1788156157851,203,191,182,3,5,0,0,0,0
Q3,Compacted,47,89,12,1788156157649,1788156157853,204,194,177,3,5,0,0,0,0
Q3,Compacted,47,91,14,1788156157650,1788156157855,205,196,174,3,6,0,0,0,0
Q3,Compacted,47,90,13,1788156157649,1788156157860,211,200,174,3,7,0,0,0,0
Q3,Compacted,47,81,4,1788156157648,1788156157864,216,206,167,3,6,0,0,0,0
Q3,Compacted,47,79,2,1788156157648,1788156157876,228,210,154,3,13,0,0,0,0
Q3,Compacted,47,80,3,1788156157648,1788156157877,229,218,147,3,6,0,0,0,0
Q3,Compacted,47,88,11,1788156157649,1788156157877,228,219,153,3,5,0,0,0,0
Q3,Compacted,47,78,1,1788156157647,1788156157881,234,223,135,3,6,0,0,0,0
Q3,Compacted,47,93,16,1788156157842,1788156157893,51,40,40,0,4,0,0,0,0
Q6,Control,48,95,1,1788156157994,1788156158117,123,118,109,2,2,0,4788224,720116,2
Q6,Control,48,94,0,1788156157992,1788156158434,442,434,401,6,2,0,35379108,5281099,14
Q6,Control,50,96,0,1788156158450,1788156158454,4,1,1,0,1,0,0,0,0
Q6,Fragmented,51,103,6,1788156158533,1788156158779,246,241,210,3,2,0,3298702,240048,8
Q6,Fragmented,51,100,3,1788156158532,1788156159025,493,487,393,10,2,0,13197882,960216,32
Q6,Fragmented,51,101,4,1788156158532,1788156159028,496,490,396,10,2,0,13196308,960192,32
Q6,Fragmented,51,97,0,1788156158530,1788156159030,500,492,398,10,2,0,13196314,960183,32
Q6,Fragmented,51,98,1,1788156158531,1788156159036,505,498,404,10,2,0,13195474,960192,32
Q6,Fragmented,51,99,2,1788156158532,1788156159040,508,502,407,10,2,0,13196906,960192,32
Q6,Fragmented,51,102,5,1788156158533,1788156159055,522,517,424,10,2,0,13196956,960192,32
Q6,Fragmented,53,104,0,1788156159074,1788156159078,4,1,1,0,1,0,0,0,0
Q6,Compacted,54,106,1,1788156159150,1788156159289,139,135,128,2,1,0,12304060,1980387,1
Q6,Compacted,54,105,0,1788156159150,1788156159412,262,259,245,4,1,0,25219170,4020828,3
Q6,Compacted,56,107,0,1788156159427,1788156159431,4,1,1,0,1,0,0,0,0
Q12,Control,58,110,1,1788156159591,1788156159872,281,278,221,21,1,0,5124096,720116,2
Q12,Control,57,108,0,1788156159573,1788156160156,583,579,500,24,1,0,3317556,1500000,16
Q12,Control,58,109,0,1788156159590,1788156160365,775,771,658,26,1,0,38188964,5281099,14
Q12,Control,62,114,2,1788156160493,1788156160686,193,183,144,0,5,0,0,0,0
Q12,Control,62,117,5,1788156160494,1788156160695,201,192,150,3,5,0,0,0,0
Q12,Control,62,118,6,1788156160494,1788156160696,202,193,156,3,4,0,0,0,0
Q12,Control,62,125,13,1788156160495,1788156160697,202,194,155,3,4,0,0,0,0
Q12,Control,62,116,4,1788156160494,1788156160699,205,197,151,3,4,0,0,0,0
Q12,Control,62,124,12,1788156160495,1788156160701,206,200,150,3,4,0,0,0,0
Q12,Control,62,119,7,1788156160494,1788156160702,208,199,157,3,4,0,0,0,0
Q12,Control,62,112,0,1788156160493,1788156160702,209,199,157,3,5,0,0,0,0
Q12,Control,62,120,8,1788156160495,1788156160702,207,200,158,3,4,0,0,0,0
Q12,Control,62,122,10,1788156160495,1788156160702,207,200,152,3,4,0,0,0,0
Q12,Control,62,115,3,1788156160494,1788156160703,209,200,156,3,5,0,0,0,0
Q12,Control,62,121,9,1788156160495,1788156160705,210,203,144,3,4,0,0,0,0
Q12,Control,62,123,11,1788156160495,1788156160705,210,203,138,3,4,0,0,0,0
Q12,Control,62,113,1,1788156160493,1788156160706,213,203,155,3,5,0,0,0,0
Q12,Control,65,126,0,1788156160750,1788156160761,11,6,5,0,3,0,0,0,0
Q12,Control,68,127,0,1788156160768,1788156160778,10,4,4,0,3,0,0,0,0
Q12,Control,72,128,0,1788156160808,1788156160816,8,4,3,0,2,0,0,0,0
Q12,Fragmented,74,136,6,1788156160929,1788156161245,316,312,199,53,1,0,3825626,240048,8
Q12,Fragmented,74,135,5,1788156160929,1788156161537,608,603,366,73,2,0,15304688,960192,32
Q12,Fragmented,74,133,3,1788156160928,1788156161554,626,621,385,73,1,0,15305646,960216,32
Q12,Fragmented,74,130,0,1788156160928,1788156161554,626,620,373,73,3,0,15304022,960183,32
Q12,Fragmented,74,132,2,1788156160928,1788156161558,630,624,381,73,3,0,15304618,960192,32
Q12,Fragmented,74,134,4,1788156160929,1788156161560,631,627,375,73,1,0,15304056,960192,32
Q12,Fragmented,74,131,1,1788156160928,1788156161563,635,629,378,73,2,0,15303234,960192,32
Q12,Fragmented,73,129,0,1788156160920,1788156161692,772,768,611,77,1,0,3317556,1500000,16
Q12,Fragmented,78,144,6,1788156161719,1788156161863,144,138,117,4,3,0,0,0,0
Q12,Fragmented,78,146,8,1788156161719,1788156161864,145,138,117,4,3,0,0,0,0
Q12,Fragmented,78,145,7,1788156161719,1788156161866,147,139,115,4,5,0,0,0,0
Q12,Fragmented,78,140,2,1788156161718,1788156161870,152,145,116,4,3,0,0,0,0
Q12,Fragmented,78,143,5,1788156161718,1788156161872,154,144,117,4,6,0,0,0,0
Q12,Fragmented,78,149,11,1788156161720,1788156161873,153,147,110,4,4,0,0,0,0
Q12,Fragmented,78,148,10,1788156161719,1788156161874,155,149,117,4,3,0,0,0,0
Q12,Fragmented,78,142,4,1788156161718,1788156161874,156,149,108,4,3,0,0,0,0
Q12,Fragmented,78,151,13,1788156161720,1788156161877,157,151,103,4,3,0,0,0,0
Q12,Fragmented,78,138,0,1788156161717,1788156161877,160,149,122,4,5,0,0,0,0
Q12,Fragmented,78,150,12,1788156161720,1788156161877,157,152,107,4,2,0,0,0,0
Q12,Fragmented,78,147,9,1788156161719,1788156161877,158,150,95,4,6,0,0,0,0
Q12,Fragmented,78,139,1,1788156161718,1788156161880,162,155,109,4,3,0,0,0,0
Q12,Fragmented,78,141,3,1788156161718,1788156161881,163,153,109,4,5,0,0,0,0
Q12,Fragmented,81,152,0,1788156161907,1788156161916,9,4,4,0,3,0,0,0,0
Q12,Fragmented,84,153,0,1788156161923,1788156161934,11,6,3,2,3,0,0,0,0
Q12,Fragmented,88,154,0,1788156161956,1788156161961,5,2,2,0,2,0,0,0,0
Q12,Compacted,90,157,1,1788156162069,1788156162297,228,225,180,19,1,0,16600764,1980387,1
Q12,Compacted,90,156,0,1788156162069,1788156162462,393,390,335,19,1,0,33882210,4020828,3
Q12,Compacted,89,155,0,1788156162058,1788156162588,530,523,474,24,5,0,3317556,1500000,16
Q12,Compacted,94,162,3,1788156162617,1788156162716,99,91,89,0,2,0,0,0,0
Q12,Compacted,94,164,5,1788156162618,1788156162725,107,101,97,0,2,0,0,0,0
Q12,Compacted,94,167,8,1788156162618,1788156162728,110,103,99,0,3,0,0,0,0
Q12,Compacted,94,171,12,1788156162618,1788156162728,110,104,100,0,3,0,0,0,0
Q12,Compacted,94,172,13,1788156162619,1788156162728,109,100,94,0,2,0,0,0,0
Q12,Compacted,94,169,10,1788156162618,1788156162730,112,105,102,0,3,0,0,0,0
Q12,Compacted,94,168,9,1788156162618,1788156162731,113,106,101,0,4,0,0,0,0
Q12,Compacted,94,165,6,1788156162618,1788156162731,113,107,102,0,4,0,0,0,0
Q12,Compacted,94,166,7,1788156162618,1788156162731,113,107,101,0,3,0,0,0,0
Q12,Compacted,94,170,11,1788156162618,1788156162734,116,110,101,0,3,0,0,0,0
Q12,Compacted,94,163,4,1788156162617,1788156162734,117,110,103,0,3,0,0,0,0
Q12,Compacted,94,160,1,1788156162617,1788156162735,118,111,106,0,4,0,0,0,0
Q12,Compacted,94,161,2,1788156162617,1788156162736,119,108,104,0,7,0,0,0,0
Q12,Compacted,94,159,0,1788156162617,1788156162736,119,108,105,0,7,0,0,0,0
Q12,Compacted,97,173,0,1788156162762,1788156162768,6,3,3,0,2,0,0,0,0
Q12,Compacted,100,174,0,1788156162775,1788156162783,8,4,3,0,2,0,0,0,0
Q12,Compacted,104,175,0,1788156162804,1788156162809,5,2,2,0,2,0,0,0,0
Q14,Control,106,178,1,1788156163172,1788156163268,96,93,80,0,1,0,6176768,720116,2
Q14,Control,106,177,0,1788156163172,1788156163574,402,398,341,7,1,0,45586340,5281099,14
Q14,Control,108,179,0,1788156163599,1788156163604,5,2,2,0,0,0,0,0,0
Q14,Fragmented,110,187,6,1788156163921,1788156164071,150,147,122,0,1,0,3269202,240048,8
Q14,Fragmented,110,186,5,1788156163921,1788156164269,348,345,237,9,1,0,13078900,960192,32
Q14,Fragmented,110,182,1,1788156163920,1788156164269,349,344,240,9,2,0,13077410,960192,32
Q14,Fragmented,110,181,0,1788156163920,1788156164276,356,351,242,9,1,0,13078278,960183,32
Q14,Fragmented,110,185,4,1788156163921,1788156164276,355,351,248,9,2,0,13078244,960192,32
Q14,Fragmented,110,183,2,1788156163920,1788156164276,356,352,249,9,1,0,13078846,960192,32
Q14,Fragmented,110,184,3,1788156163921,1788156164286,365,361,252,9,2,0,13079810,960216,32
Q14,Fragmented,112,188,0,1788156164302,1788156164307,5,1,1,0,1,0,0,0,0
Q14,Compacted,114,191,1,1788156164571,1788156164707,136,134,112,3,1,0,16395964,1980387,1
Q14,Compacted,114,190,0,1788156164571,1788156164827,256,252,218,6,1,0,33468514,4020828,3
Q14,Compacted,116,192,0,1788156164844,1788156164847,3,1,1,0,0,0,0,0,0
Q18,Control,120,198,1,1788156165121,1788156165426,305,301,256,30,1,0,1740800,720116,2
Q18,Control,119,196,1,1788156165111,1788156165658,547,543,466,46,2,0,1740800,720116,2
Q18,Control,118,194,0,1788156165083,1788156165900,817,814,684,57,1,0,14589748,1500000,16
Q18,Control,120,197,0,1788156165121,1788156166498,1377,1373,1219,80,1,0,13129636,5281099,14
Q18,Control,119,195,0,1788156165109,1788156167320,2211,2204,1995,112,2,0,13129636,5281099,14
Q18,Control,124,208,9,1788156167473,1788156168571,1098,1071,582,86,18,0,0,0,0
Q18,Control,124,215,16,1788156168565,1788156169818,1253,1238,544,233,7,0,0,0,0
Q18,Control,124,207,8,1788156167473,1788156169927,2454,2430,1304,322,17,0,0,0,0
Q18,Control,124,206,7,1788156167473,1788156169956,2483,2457,1171,322,17,0,0,0,0
Q18,Control,124,203,4,1788156167472,1788156169979,2507,2482,1370,322,18,0,0,0,0
Q18,Control,124,201,2,1788156167472,1788156170051,2579,2555,1456,325,17,0,0,0,0
Q18,Control,124,205,6,1788156167473,1788156170063,2590,2566,1326,325,19,0,0,0,0
Q18,Control,124,209,10,1788156167473,1788156170090,2617,2595,1391,325,17,0,0,0,0
Q18,Control,124,214,15,1788156167474,1788156170125,2651,2624,1516,325,17,0,0,0,0
Q18,Control,124,210,11,1788156167474,1788156170149,2675,2651,1442,329,19,0,0,0,0
Q18,Control,124,211,12,1788156167474,1788156170149,2675,2650,1419,329,18,0,0,0,0
Q18,Control,124,213,14,1788156167474,1788156170155,2681,2653,1260,329,20,0,0,0,0
Q18,Control,124,212,13,1788156167474,1788156170157,2683,2662,1479,329,17,0,0,0,0
Q18,Control,124,200,1,1788156167472,1788156170163,2691,2664,1402,329,19,0,0,0,0
Q18,Control,124,199,0,1788156167471,1788156170165,2694,2669,1511,329,17,0,0,0,0
Q18,Control,124,204,5,1788156167473,1788156170171,2698,2676,1541,329,17,0,0,0,0
Q18,Control,124,202,3,1788156167472,1788156170176,2704,2681,1377,329,17,0,0,0,0
Q18,Fragmented,128,231,6,1788156170431,1788156170952,521,515,249,72,2,0,1669066,240048,8
Q18,Fragmented,127,224,6,1788156170425,1788156171220,795,789,455,94,2,0,1669066,240048,8
Q18,Fragmented,128,225,0,1788156170428,1788156171552,1124,1114,612,109,3,0,6677674,960183,32
Q18,Fragmented,128,226,1,1788156170428,1788156171609,1181,1172,631,109,3,0,6676794,960192,32
Q18,Fragmented,128,228,3,1788156170429,1788156171618,1189,1182,631,109,2,0,6679174,960216,32
Q18,Fragmented,128,229,4,1788156170430,1788156171640,1210,1201,641,115,5,0,6677620,960192,32
Q18,Fragmented,128,230,5,1788156170430,1788156171648,1218,1210,632,115,3,0,6678296,960192,32
Q18,Fragmented,128,227,2,1788156170429,1788156171665,1236,1228,632,115,3,0,6678222,960192,32
Q18,Fragmented,125,216,0,1788156170414,1788156171897,1483,1479,1039,129,1,0,14589748,1500000,16
Q18,Fragmented,127,219,1,1788156170423,1788156173634,3211,3204,2475,210,3,0,6676794,960192,32
Q18,Fragmented,127,222,4,1788156170424,1788156173648,3224,3217,2480,210,2,0,6677620,960192,32
Q18,Fragmented,127,220,2,1788156170423,1788156173651,3228,3221,2542,210,3,0,6678222,960192,32
Q18,Fragmented,127,221,3,1788156170424,1788156173658,3234,3228,2484,210,2,0,6679174,960216,32
Q18,Fragmented,127,218,0,1788156170422,1788156173663,3241,3233,2480,210,3,0,6677674,960183,32
Q18,Fragmented,127,223,5,1788156170425,1788156173697,3272,3267,2533,210,2,0,6678296,960192,32
Q18,Fragmented,132,241,9,1788156173761,1788156174398,637,621,418,41,9,0,0,0,0
Q18,Fragmented,132,239,7,1788156173761,1788156176804,3043,2885,1064,1400,14,105,0,0,0
Q18,Fragmented,132,248,16,1788156174395,1788156176813,2418,2371,640,1363,26,0,0,0,0
Q18,Fragmented,132,240,8,1788156173761,1788156176837,3076,3063,1078,1411,6,0,0,0,0
Q18,Fragmented,132,242,10,1788156173761,1788156176954,3193,3167,1062,1423,18,0,0,0,0
Q18,Fragmented,132,238,6,1788156173761,1788156176992,3231,3209,1070,1424,16,0,0,0,0
Q18,Fragmented,132,237,5,1788156173761,1788156176998,3237,3227,1115,1424,5,0,0,0,0
Q18,Fragmented,132,246,14,1788156173762,1788156176998,3236,3226,1118,1424,7,0,0,0,0
Q18,Fragmented,132,243,11,1788156173761,1788156177002,3241,3224,1020,1424,13,0,0,0,0
Q18,Fragmented,132,244,12,1788156173761,1788156177002,3241,3228,1112,1424,7,0,0,0,0
Q18,Fragmented,132,233,1,1788156173760,1788156177023,3263,3253,1089,1427,5,0,0,0,0
Q18,Fragmented,132,247,15,1788156173762,1788156177023,3261,3251,1119,1427,5,0,0,0,0
Q18,Fragmented,132,245,13,1788156173762,1788156177024,3262,3252,1100,1427,7,0,0,0,0
Q18,Fragmented,132,235,3,1788156173760,1788156177024,3264,3244,1081,1427,15,0,0,0,0
Q18,Fragmented,132,234,2,1788156173760,1788156177036,3276,3265,1033,1427,5,0,0,0,0
Q18,Fragmented,132,236,4,1788156173760,1788156177039,3279,3262,1053,1427,12,0,0,0,0
Q18,Fragmented,132,232,0,1788156173760,1788156177047,3287,3276,1064,1427,5,0,0,0,0
Q18,Compacted,136,254,1,1788156177322,1788156178216,894,890,707,57,1,0,8134332,1980387,1
Q18,Compacted,133,249,0,1788156177299,1788156178395,1096,1077,830,65,3,0,14589748,1500000,16
Q18,Compacted,136,253,0,1788156177321,1788156178910,1589,1584,1311,80,1,0,16547938,4020828,3
Q18,Compacted,135,252,1,1788156177319,1788156179877,2558,2551,2159,129,3,0,8134332,1980387,1
Q18,Compacted,135,251,0,1788156177318,1788156181362,4044,4038,3594,151,3,0,16547938,4020828,3
Q18,Compacted,140,264,9,1788156181459,1788156181902,443,422,246,42,6,1,0,0,0
Q18,Compacted,140,257,2,1788156181458,1788156183676,2218,2171,725,963,11,21,0,0,0
Q18,Compacted,140,255,0,1788156181456,1788156183689,2233,2164,755,963,16,29,0,0,0
Q18,Compacted,140,271,16,1788156181893,1788156183827,1934,1803,488,927,16,0,0,0,0
Q18,Compacted,140,260,5,1788156181458,1788156183833,2375,2249,756,967,9,0,0,0,0
Q18,Compacted,140,265,10,1788156181459,1788156183836,2377,2359,741,1059,5,2,0,0,0
Q18,Compacted,140,263,8,1788156181459,1788156183917,2458,2434,763,1061,6,0,0,0,0
Q18,Compacted,140,269,14,1788156181460,1788156183927,2467,2456,781,1061,6,0,0,0,0
Q18,Compacted,140,268,13,1788156181459,1788156183927,2468,2448,784,1061,8,0,0,0,0
Q18,Compacted,140,256,1,1788156181457,1788156183927,2470,2437,808,1061,26,0,0,0,0
Q18,Compacted,140,261,6,1788156181458,1788156183928,2470,2454,768,1061,9,0,0,0,0
Q18,Compacted,140,266,11,1788156181459,1788156183942,2483,2467,778,1064,6,0,0,0,0
Q18,Compacted,140,267,12,1788156181459,1788156183982,2523,2509,771,1067,8,0,0,0,0
Q18,Compacted,140,262,7,1788156181459,1788156184018,2559,2548,720,1069,6,0,0,0,0
Q18,Compacted,140,258,3,1788156181458,1788156184018,2560,2546,790,1069,9,0,0,0,0
Q18,Compacted,140,270,15,1788156181460,1788156184065,2605,2595,879,1073,6,0,0,0,0
Q18,Compacted,140,259,4,1788156181458,1788156184068,2610,2594,826,1073,11,0,0,0,0
